gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
Aktip	ENSMUST00000120213	4190	1499	5.19615242270663	1
Mmp11	ENSMUST00000120281	5091	218	11.4017542509914	1
Mmp11	ENSMUST00000120281	5091	221	18.4182184054476	1
Mmp11	ENSMUST00000120281	5091	224	14.0329283089125	1
Bcat2	ENSMUST00000120296	3568	1356	329.141996017569	1
Aktip	ENSMUST00000120349	4190	1499	5.19615242270663	1
Sgk1	ENSMUST00000120509	4893	173	30.3108891324554	2
Sgk1	ENSMUST00000120509	4893	174	22.5166604983954	2
Plekha4	ENSMUST00000120516	3568	1356	66.3894366967256	1
Igfbp2	ENSMUST00000120564	237	41	388.050932804805	1
Igfbp2	ENSMUST00000120564	237	44	99.1166238007453	1
Igfbp2	ENSMUST00000120564	237	45	223.47993479602	1
Bcl7a	ENSMUST00000120593	2770	1237	19.9185842870421	1
Bcl7a	ENSMUST00000120593	2770	1238	9.52627944162882	1
Pde4d	ENSMUST00000120664	6615	496	33.7749907475931	1
Pde4d	ENSMUST00000120664	6615	498	8.66025403784439	1
Pde4d	ENSMUST00000120664	6615	499	3.46410161513775	1
Pde4d	ENSMUST00000120664	6615	502	9.52627944162882	1
Pde4d	ENSMUST00000120664	6615	504	12.9903810567666	1
Pde4d	ENSMUST00000120664	6615	506	19.0525588832576	1
Furin	ENSMUST00000120753	3662	1391	4.33012701892219	1
Furin	ENSMUST00000120753	3662	1393	3.46410161513775	1
Furin	ENSMUST00000120753	3662	1395	0	1
Furin	ENSMUST00000120753	3662	1396	7.79422863405995	1
Furin	ENSMUST00000120753	3662	1397	1.73205080756888	1
Furin	ENSMUST00000120753	3658	1384	2.59807621135332	1
Bcat2	ENSMUST00000120864	3568	1356	262.752559320844	1
Plekha4	ENSMUST00000120985	3568	1356	150.853979320809	1
Tbx3	ENSMUST00000121021	2754	1217	305.765433800412	1
Tbx3	ENSMUST00000121021	2754	1218	256.20712190004	1
Tbx3	ENSMUST00000121021	2754	1221	100.051686289432	1
Tbx3	ENSMUST00000121021	2754	1223	82.2854990043923	1
Tbx3	ENSMUST00000121021	2754	1225	32.7271871040197	1
Tbx3	ENSMUST00000121021	2752	1216	106.124020336151	1
Tbx3	ENSMUST00000121021	2754	1233	103.492846278229	1
1810013D10Rik	ENSMUST00000121042	2510	1180	8.66025403784439	1
1810013D10Rik	ENSMUST00000121042	2510	1181	0	1
1810013D10Rik	ENSMUST00000121042	2510	1182	4.33012701892219	1
1810013D10Rik	ENSMUST00000121042	2510	1183	5.19615242270663	1
1810013D10Rik	ENSMUST00000121042	2510	1184	6.92820323027551	1
1810013D10Rik	ENSMUST00000121042	2510	1186	6.06217782649107	1
1810013D10Rik	ENSMUST00000121042	2510	1187	19.9185842870421	1
Smarcb1	ENSMUST00000121304	5091	218	14.9099863282195	1
Smarcb1	ENSMUST00000121304	5091	221	104.369904297537	1
Smarcb1	ENSMUST00000121304	5091	224	14.0329283089125	1
Orai1	ENSMUST00000121652	2770	1237	25.1147367097487	1
Orai1	ENSMUST00000121652	2770	1238	19.0525588832576	1
Kdm2b	ENSMUST00000121739	2770	1237	17.3205080756888	0
Kdm2b	ENSMUST00000121739	2770	1238	15.5884572681199	0
Rccd1	ENSMUST00000121882	3662	1391	1.73205080756888	1
Rccd1	ENSMUST00000121882	3662	1393	0.866025403784439	1
Rccd1	ENSMUST00000121882	3662	1396	1.73205080756888	1
Rccd1	ENSMUST00000121882	3662	1397	0.866025403784439	1
Plekha4	ENSMUST00000121932	3568	1356	66.3894366967256	1
Otx2	ENSMUST00000122009	6789	513	118.752936063157	0
Furin	ENSMUST00000122232	3662	1391	4.33012701892219	1
Furin	ENSMUST00000122232	3662	1393	3.46410161513775	1
Furin	ENSMUST00000122232	3662	1395	0	1
Furin	ENSMUST00000122232	3662	1396	7.79422863405995	1
Furin	ENSMUST00000122232	3662	1397	1.73205080756888	1
Furin	ENSMUST00000122232	3658	1384	2.59807621135332	1
Pum1	ENSMUST00000122847	2223	1096	4.38529009653515	1
Mkrn1	ENSMUST00000122874	3044	1250	72.9348741175295	0
Fbxo44	ENSMUST00000122913	2317	1163	40.3446688881234	1
Fbxo44	ENSMUST00000122913	2317	1167	5.26234811584218	1
2610002J02Rik	ENSMUST00000122957	2354	1170	7.01646415445624	1
Ankrd35	ENSMUST00000122960	1630	1037	118.752936063157	2
Ankrd35	ENSMUST00000122960	1629	1033	78.9352217376327	2
Mkrn1	ENSMUST00000122996	3044	1250	88.8309364251962	1
Rap1gap	ENSMUST00000123011	2268	1116	9.64763821237733	0
Sema4b	ENSMUST00000123023	3662	1391	24.3116247058432	0
Sema4b	ENSMUST00000123023	3658	1384	4.33012701892219	0
Dpf2	ENSMUST00000123029	8324	856	21.0493924633687	1
Dpf2	ENSMUST00000123029	8324	857	71.0416995638694	1
Rccd1	ENSMUST00000123109	3662	1391	1.73205080756888	1
Rccd1	ENSMUST00000123109	3662	1393	0.866025403784439	1
Rccd1	ENSMUST00000123109	3662	1396	1.73205080756888	1
Rccd1	ENSMUST00000123109	3662	1397	0.866025403784439	1
Rap1gap	ENSMUST00000123134	2268	1116	9.64763821237733	0
Ecm1	ENSMUST00000123143	1626	1022	9.64763821237733	1
Ecm1	ENSMUST00000123143	1626	1027	21.9264504826757	1
Ecm1	ENSMUST00000123143	1626	1028	7.01646415445624	1
Ecm1	ENSMUST00000123143	1626	1030	28.942914637132	1
Cenpv	ENSMUST00000123181	5533	287	27.1887985985179	1
Rccd1	ENSMUST00000123189	3662	1391	1.73205080756888	1
Rccd1	ENSMUST00000123189	3662	1393	0.866025403784439	1
Rccd1	ENSMUST00000123189	3662	1396	1.73205080756888	1
